Title,Author
Chronicas de Viagem,Alberto Pimentel
The Garden of Eden,Max Brand
The Indian Drum,William MacHarg and Edwin Balmer
The Blind Man's Eyes,William MacHarg and Edwin Balmer
Plane Geometry,George Albert Wentworth
A Short History of French Literature,George Saintsbury
Clover and Blue Grass,Eliza Calvert Hall
A Living from the Land,William B. Duryee
The Towns of Roman Britain,James Oliver Bevan
Gabriel Tolliver,Joel Chandler Harris
O Marquez de Pombal,Manoel Caldas Cordeiro
Historias Sem Data,Joaquim Maria Machado de Assis
Her Season in Bath,Emma Marshall
"Harper's Round Table, July 9, 1895",Various
Camping & Tramping with Roosevelt,John Burroughs
"Encyclopaedia Britannica, 11th Edition, Volume 5, Slice 2",Various
Momotaro,Anonymous
Connecticut,Ruth Sawyer-Harvey
Science,John William Dawson
Jap Herron,Emily Grant Hutchings
The Eye of Wilbur Mook,H. B. Hickey
"Harper's Round Table, July 2, 1895",Various
The Ranidae,Unknown
Birds from North Borneo,Max C. Thompson
Windyridge,W. Riley
Hastings and Neighbourhood,Walter Higgins
Unsichtbare Bande,Selma Lagerlöf
Bye-Ways,Robert Smythe Hichens
The Orphan,Clarence E. Mulford
Due North or Glimpses of Scandinavia and Russia,Maturin M. Ballou
"Harper's Round Table, June 25, 1895",Various
The Bright Side of Prison Life,Samuel A. Swiggett
"Premo Cameras, 1914",Canadian Kodak Company
Les bases de la morale évolutionniste,Herbert Spencer
"L'Illustration No. 3228, 7 Janvier 1905",Various
"Chiquita, an American Novel",Merrill Tileston
Ducks and Geese,Harry M. Lamon and Rob R. Slocum
Man and Maid,Edith Nesbit
Vol. 15,Various
Végzetes tévedés,Lenke Beniczkyné Bajza
"Harper's Round Table, June 18, 1895",Various
Moody's Stories,Dwight Lyman Moody
Villani's Chronicle,Giovanni Villani
The Carlovingian Coins,Eugène Sue
English Costume,Dion Clayton Calthrop
The Green God,Frederic Arnold Kummer
"Astounding Stories, August, 1931",Various
The Overcoming Life,Dwight Moody
To The Work! To The Work!,Dwight Moody
European Fungus Flora: Agaricaceae,George Massee
Carnival,Compton Mackenzie
Thomas Jefferson,Henry Childs Merwin
"Harper's Round Table, June 11, 1895",Various
"The Atlantic Monthly, Volume 16, No. 98, December, 1865",Various
Landolin,Berthold Auerbach
Edelweiss,Berthold Auerbach
An Outline of Russian Literature,Maurice Baring
The Red Rat's Daughter,Guy Boothby
Der Wahnsinnige,Friedrich Gerstäcker
The Shoemaker's Apron,Parker Fillmore
"My Diary in Serbia: April 1, 1915-Nov. 1, 1915",Monica M. Stanley
The Greater Republic,Charles Morris
"Harper's Round Table, June 4, 1895",Various
The Romance of the Red Triangle,Arthur Keysall Yapp
The Style Book of The Detroit News,The Detroit News
Our Caughnawagas in Egypt,Louis Jackson
The Marvelous Exploits of Paul Bunyan,W. B. Laughead
A Daughter of the Union,Lucy Foster Madison
The Youngest Girl in the School,Evelyn Sharp
A Day with Lord Byron,May Clarissa Gillington
Zu Guter Letzt,Wilhelm Busch
Ewing's Lady,Harry Leon Wilson
Larger Work of Washington Irving,Washington Irving
"Collated Readings of 1647, 1651, 1657",Thomas Stanley
A Modern Wizard,Rodrigues Ottolengui
An Essay on the Trial by Jury,Lysander Spooner
"Harper's New Monthly Magazine, Volume 4, No. 22. March 1852",Various
Poisonous,Thomas Taylor
Trevethlan: Volume 1,William Davy Watson
Confessions of an Opera Singer,Kathleen Howard
Interpreters,Carl Van Vechten
Geshukunin (The Lodger),Marie Lowndes
From Sea to Sea,Rudyard Kipling
"Harper's Round Table, May 28, 1895",Various
The Elements of Blowpipe Analysis,Frederick Hutton Getman
Elements of Plane Trigonometry,Hugh Blackburn
Round the World in Eighty Days,Jules Verne
The Eagle's Nest,S. E. Cartwright
"Harper's Round Table, May 21, 1895",Various
Trees and Shrubs for English Gardens,Ernest Thomas Cook
A Sketch-Book of R. Caldecott's,Randolph Caldecott
Revolution and Counter-Revolution,Karl Marx
Mothering on Perilous,Lucy S. Furman
"Puss in Boots, Jr. and the Good Gray Horse",David Cory
Portraits et souvenirs,Camille Saint-Saëns
A Handbook of Laboratory Glass-Blowing,Bernard D. Bolas
"Harper's Round Table, May 14, 1895",Various
The Competitive Nephew,Montague Glass
Leerie,Ruth Sawyer
Edge Hill,Edwin Walford
"Harper's Round Table, May 7, 1895",Various
"Wilson's Tales of the Borders and of Scotland, Vol. 9",Various
The Children of Westminster Abbey,Rose G. Kingsley
The Black Arrow,Robert Louis Stevenson
Quest of the Golden Ape,Ivar Jorgensen and Adam Chase
"L'Illustration, No 3734, 26 Sept. 1914",various
The Bull-Run Rout,Edward Henry Clement
Camp and Trail,Stewart Edward White
The American Country Girl,Martha Foote Crow
Henri Poincaré,Ernest Lebon
On Snake-Poison: its Action and its Antidote,A. Mueller
Where the Pavement Ends,John Russell
Rubaiyat of Doc Sifers,James Whitcomb Riley
"Harper's Round Table, April 30, 1895",Various
The Red City,S. Weir Mitchell
Doko e,Hakucho Masamune
"Encyclopaedia Britannica, 11th Edition, Volume 9, Slice 4",Various
The Sacred Fount,Henry James
Secretary of the Smithsonian Institution,Various
"Women in All Ages and in All Countries, v 1-10",Various
An Unknown Lover,Mrs. George de Horne Vaizey
What a Man Wills,Mrs. George de Horne Vaizey
The Young Colonists,G.A. Henty
The Daughters of a Genius,Mrs. George de Horne Vaizey
Seven Frozen Sailors,George Manville Fenn
Harley Greenoak's Charge,Bertram Mitford
A Gallant Grenadier,F.S. Brereton
Thereby Hangs a Tale,George Manville Fenn
Haviland's Chum,Bertram Mitford
The Induna's Wife,Bertram Mitford
"John Ames, Native Commissioner",Bertram Mitford
The King's Assegai,Bertram Mitford
The New Mistress,George Manville Fenn
"My Kalulu, Prince, King and Slave",Henry M. Stanley
A Veldt Official,Bertram Mitford
Old Hendrik's Tales,Arthur Owen Vaughan
A Question of Marriage,Mrs. George de Horne Vaizey
Renshaw Fanning's Quest,Bertram Mitford
With Rifle and Bayonet,F.S. Brereton
The Sapphire Cross,George Manville Fenn
A Secret of the Lebombo,Bertram Mitford
Sir Hilton's Sin,George Manville Fenn
Tales of South Africa,H.A. Bryden
Through South Africa,Henry M. Stanley
Into the Unknown,Lawrence Fletcher
The White Hand and the Black,Bertram Mitford
With Wolseley to Kumasi,F.S. Brereton
Zero the Slaver,Lawrence Fletcher
The Ruined Cities of Zululand,Hugh Mulleneux Walmsley
You Too Can Be A Millionaire,Noel Miller Loomis
Thy Name Is Woman,Bryce Walton
Mask of Death,Paul Ernst
The Huddlers,William Campbell Gault
The Victor,Bryce Walton
Villa Eden,Berthold Auerbach
The Merchants of Venus,A. H. Phelps
Rats in the Belfry,John York Cabot
The Cosmic Deflector,Stanton A. Coblentz
The Handbook of Conundrums,Edith B. Ordway
Young Wallingford,George Randolph Chester
'Tween Snow and Fire,Bertram Mitford
A Veldt Vendetta,Bertram Mitford
In the Whirl of the Rising,Bertram Mitford
The White Shield,Bertram Mitford
Women of America,John Rouse Larus
Phantom of the Forest,Lee Francis
Home is Where You Left It,Adam Chase
Cue for Quiet,Thomas L. Sherred
Paris,William Walton
Trilbyana,Joseph Benson Gilder and Jeannette Leonard Gilder
The Battleship Boys' First Step Upward,Frank Gee Patchin
Circle of Flight,Richard Stockham
Ideas of Good and Evil,William Butler Yeats
Fresh Light from the Ancient Monuments,Archibald Henry Sayce
Lady Cassandra,Mrs George de Horne Vaizey
Blind Policy,George Manville Fenn
Death Makes A Mistake,P. F. Costello
Reflections upon Two Pamphlets Lately Published,Anonymous
Thy Rocks and Rills,Robert Ernest Gilbert
My Dark Companions,Henry M. Stanley
Castle of Terror,E.J. Liston
Ten Years' Captivity in the Mahdi's Camp 1882-1892,F. R. Wingate
With Ring of Shield,Knox Magee
Portugal perante a revolução de Hespanha,Antero de Quental
Liga Patriotica do Norte,Antero de Quental
Leituras Populares,Antero de Quental
Guelfos e Gibelinos,Eduardo Augusto Vidal
Marquez de Pombal,Josefina Pinto Carneiro Perestrelo
A Biblia da Humanidade,Anthero de Quental
Mopsa the Fairy,Jean Ingelow
Beyond The Thunder,H. B. Hickey
En adelig Opdager,Richard Marsh
Bedside Manner,William Morrison
Cottage Economy,William Cobbett
"Wilson's Tales of the Borders and of Scotland, Volume I",Various
The Genius,Con Pederson and Paul Orban
Perchance to Dream,Richard Stockham
The Cruise of the Elena,J. Ewing Ritchie
The Theory of the Relativity of Motion,Richard Chace Tolman
Lectures on the Science of Language,F. Max Müller
Arsène Lupin gentleman-cambrioleur,Maurice Leblanc
In the Cards,Alan Cogan
Athanasis Diakos - Astrapogiannos,Aristotelis Valaoritis
Sweet Smells,Kostas Pasagianis
The Tree of Life,Catherine Lucille Moore
Oscar Wilde,Edgar Saltus
1863-1888,Edward VII
The Door into Infinity,Edmond Hamilton
International Short Stories,Various
International Short Stories,Various
The Religious Life of London,J. Ewing Ritchie
The Sun Maid,Evelyn Raymond
London Impressions,Alice Meynell
The Laird o' Coul's Ghost,Anonymous
One Of Them,Charles James Lever
"Punch, or the London Charivari, Volume 93. July 30, 1887",Various
The Canadian Curler's Manual,James
Check and Checkmate,Walter Miller
When the Mountain Shook,Robert Abernathy
Geraldine Farrar,Geraldine Farrar
Het Leven der Dieren,A. E. Brehm
A Woman's Place,Mark Irvin Clifton
Piper in the Woods,Philip K. Dick
The Lost Door,Dorothy Quick
The State of the Blessed Dead,Henry Alford
Backlash,Winston Marks
Think Yourself to Death,C.H. Thames
Fairfax and His Pride,Maria Van Vorst
The Goddess of Atvatabar,William R. Bradshaw
Het Leven der Dieren,A. E. Brehm
Daughter of the Night,Richard S. Shaver
The Picturesque Antiquities of Spain,Nathaniel Armstrong Wells
World Beyond Pluto,C. H. Thames
Elegy,Charles Beaumont
Cucumber in the Winter Season,Thomas Moore
Szirmay Ilona,József Gaál
While I was passing by,Ioannis Kondylakis
Sekunde durch Hirn,Melchior Vischer
in History,Martin Hume
Holiday House,Catherine Sinclair
The Soldier Turned Farmer,Anonymous
Oberman,Étienne Pivert de Senancour
Freehold Land Societies,J. Ewing Ritchie
Christopher Crayon's Recollections,J. Ewing Ritchie
The Impossible Voyage Home,Floyd L. Wallace
"Punch, or the London Charivari, Volume 93, July 23, 1887",Various
Tillie,Roger Phillips Graham
The Plotters,Alexander Blade
"The Romance of Natural History, Second Series",Philip Henry Gosse
Immigration Stories,Christos Christovasilis
Othello,William Shakespeare
The Two Testimonies,Polyvios Dimitrakopoulos
Three Thousand Dollars,Anna Katharine Green
Historia de um beijo,Enrique Pérez Escrich
Um contemporaneo do Infante D. Henrique,Alberto Pimentel
Portugueza,Antero de Quental
incomparavel tr,Elmano da Cunha
Camões e a Fisionomia Espiritual da Pátria,Leonardo Coimbra
More Conjuring,Hercat
Durer,M. F. Sweetser
Legends of Florence,Charles Godfrey Leland
Once Upon A Planet,J. J. Allerton
The Dark Goddess,Richard Sharpe Shaver
"Encyclopaedia Britannica, 11th Edition, Volume 8, Slice 7",Various
Success Story,Robert Turner
Blackboard Drawing,Frederick Whitney
Asteroid of Fear,Raymond Zinke Gallun
Above the Battle,Romain Rolland
A Pushcart at the Curb,John Dos Passos
and the Unseen,Sir Arthur Conan Doyle
Women of the Teutonic Nations,Hermann Schoenfeld
The Ties That Bind,Walter Miller
The Night Side of London,J. Ewing Ritchie
About London,J. Ewing Ritchie
Rewards and Fairies,Rudyard Kipling
Here and There in London,J. Ewing Ritchie
The Intriguers,William Le Queux
The Last Generation,James Elroy Flecker
The Story of Chautauqua,Jesse Lyman Hurlbut
Some Specimens of the Poetry of the Ancient Welsh Bards,Evan Evans
Einleitung in die Theorie der Elliptischen Funktionen,Karl Bobek
All That Goes Up,Kirby Brooks
Manners of the Age,Horace Brown Fyfe
Die Nacht der Erfüllung,Rabindranath Tagore
Michelangelo,Romain Rolland
Sketches,W. H. Rhodes
The First Day of Spring,Mari Wolf
Red Nails,Robert E. Howard
"Encyclopaedia Britannica, 11th Edition, Volume 8, Slice 6",Various
Tried for Her Life,Emma Dorothy Eliza Nevitte Southworth
Some Essentials of Religion,"J. C. Roper,"
Peasant Tales of Russia,V.I. Nemirovitch-Dantchenko
One-Way Ticket to Nowhere,Leroy Yerxa
Croquet,Anonymous
To Lhassa at Last,Powell Millington
The Moralist,Jack Taylor
The Sphere of Sleep,Chester S. Geier
The Challenge of the Country,George Walter Fiske
Mate in Two Moves,Winston Marks
"Travels in Tartary, Thibet and China",Evariste Regis Huc
The Revival of Irish Literature,"Charles Gavan Duffy,"
The Unlearned,Raymond F. Jones
The Valley,Richard Stockham
The Silver Cross or The Carpenter of Nazareth,Eugène Sue
The Auto Boys' Mystery,James A. Braden
Poems Fifth Volume Philosopher Fasoulis,Georgios Souris
Prose Pieces,Krystallis Kostas
Probability,Louis Trimble
September 1845,Various
Uniform of a Man,Dave Dryfoos
Bible Story,Rev. Newton Marshall Hall and Rev. Irving Francis Wood
Forsyte's Retreat,Winston Marks
Fly By Night,Arthur Dekker Savage
Jacob's Ladder,E. Phillips Oppenheim
Sube Cane,Edward Bellamy Partridge
The Heart of a Woman,"Emmuska, Baroness, Orczy"
Local Drawings,Mitsos Chatzopoulos
The English in the West Indies,James Anthony Froude
Women of Modern France,Hugo Paul Thieme
Death of a B.E.M.,Berkeley Livingston
Work for Women,George J. Manson
Feet Of Clay,Phillip Hoskins
The Minute Boys of Boston,James Otis
Jewish Theology,Kaufmann Kohler
"The History of Virginia, in Four Parts",Robert Beverley
What We Saw in Egypt,Anonymous
Mr. President,Stephen Arr
The Trap,Betsy Curtis
Wait for Weight,Jack McKenty
Cancer World,Harry Warner
A History of the Third French Republic,C. H. C. Wright
"Souvenir Book of the Great Chelsea Fire April 12, 1908",Anonymous
Women of the Romance Countries,John R. Effinger
Cube Root of Conquest,Roger Phillips Graham
Disaster Revisited,Darius John Granger
Doom of the House of Duryea,Earl Peirce
Shock Treatment,Stanley Mullen
The Golden Age in Transylvania,Mór Jókai
Anne,Constance Fenimore Woolson
Triplanetary,Edward Elmer Smith
Deadly City,Paul W. Fairman
Stepsons of Light,Eugene Manlove Rhodes
The Making of a Country Parish,Harlow Spencer Mills
The Romance of the Reaper,Herbert Newton Casson
Kant's Theory of Knowledge,Harold Arthur Prichard
Area Handbook for Romania,"Eugene K. Keefe,"
Makers of Canada: Index and Dictionary of Canadian History,Various
this Country,William Swan Plumer
The Sword,Frank Quattrocchi
Planet of the Gods,Robert Moore Williams
Women of Mediæval France,Pierce Butler
That Boy Of Norcott's,Charles James Lever
A Day's Ride,Charles James Lever
El Tresor del Vell Cavaller,Emile Erckmann and Alexandre Chatrian
"The Great Events by Famous Historians, Volume 14",Various
"Encyclopaedia Britannica, 11th Edition, Volume 8, Slice 5",Various
The Ordeal of Colonel Johns,George H. Smith
The Colonists,Raymond F. Jones
Day of the Druid,Knut Enferd
Cold Ghost,Chester S. Geier
The Invader,Alfred Coppel
The Next Time We Die,Robert Moore Williams
"Punch, or the London Charivari, Volume 93, July 16, 1887",Various
The Use of a Box of Colours,Harry Willson
The Worlds of Joe Shannon,Frank M. Robinson
of the Southern Rocky Mountain Region,E. Lendell Cockrum
Commodore Barney's Young Spies,James Otis
The Invention of the Sewing Machine,Grace Rogers Cooper
The Test Colony,Winston Marks
"St. Paul's Epistle to the Romans, Vol. II",Charles Gore
"St. Paul's Epistle to the Romans, Vol. I",Charles Gore
Direct Wire,Clee Garson
The Doors of Death,Arthur B. Waltermire
The Time Mirror,Clark South
The Story of John Wesley,Marianne Kirlew
Black Diamonds,Mór Jókai
The Holes and John Smith,Edward W. Ludwig
The Ideal Husband,Oscar Wilde
The Anglers of Arz,Roger Phillips Dee
Black Amazon of Mars,Leigh Brackett
Ye of Little Faith,Roger Phillips Graham
Eight Stories for Isabel,Anonymous
Great Masters in Painting: Rembrandt van Rijn,Malcolm Bell
Georgics,Virgil
The Standardized Man,Stephen Bartholomew
Spillthrough,Daniel F. Galouye
The Last Gentleman,Rory Magill
Project Hush,Philip Klass
The Chameleon Man,William P. McGivern
Adolescents Only,Irving E. Cox
of the Army of the Potomac,Hampton Sidney Thomas
The Middle Years,Henry James
The Minute Boys of York Town,James Otis
O Infante Navegador,Alfredo Campos
Contos Phantasticos,Teófilo Braga
"Anthero do Quental, e Ramalho Ortigão",Álvaro do Carvalhal
Essays on the Materialistic Conception of History,Antonio Labriola
Abrégé de la Théorie des Fonctions Elliptiques,Charles Henry
Allan Ramsay,William Henry Oliphant Smeaton
Earthsmith,Milton Lesser
Histoire du véritable Gribouille,George Sand
The Medici Boots,Pearl Norton Swet
In the Dark,Ronal Kayser
"The Envoy, Her",Horace Brown Fyfe
The Salesman,Waldo T. Boyd
The Diary of Philip Westerly,Paul Compton
Die Potentialfunction und das Potential,Rudolf Clausius
Time Enough at Last,Lyn Venable
The Spy,J. Fenimore Cooper
Restricted Tool,Malcolm B. Morehart
Tiger Cat,David H. Keller
"Punch, or the London Charivari, Volume 93, July 9, 1887",Various
The Child's Book of American Biography,Mary Stoyell Stimpson
Area Handbook for Bulgaria,"Eugene K. Keefe,"
Thomas Carlyle,Hector Carsewell Macpherson
A Treatise on Probability,John Maynard Keynes
A History of Rome to 565 A.D.,Arthur Edward Romilly Boak
in Coahuila Mexico,Robert J. Russell and Rollin H. Baker
"Vol. 8, May 1886, No. 7",Various
Napoléon et Alexandre Ier (3/3),Albert Vandal
The Three Mulla-mulgars,Walter De La Mare
Back to Julie,Richard Wilson
Monsoons of Death,Gerald Vance
"The Galaxy, May, 1877",Various
"The Galaxy, April, 1877",Various
The Hell Ship,Raymond Alfred Palmer
"The Diary of a Resurrectionist, 1811-1812",James Blake Bailey
Tabby,Winston Marks
The Irish Constitution,Darrell Figgis
The Falling Flag,Edward M. Boykin
The Long Arm,Franz Habl
The Children of the Poor,Jacob A. Riis
Some War-time Lessons,Frederick Paul Keppel
"Encyclopaedia Britannica, 11th Edition, Volume 8, Slice 4",Various
Dorothy on a House Boat,Evelyn Raymond
History of Beasts,Unknown
Volunteers in 1862,Ellis Spear
"Reminiscences, 1819-1899",Julia Ward Howe
What Every Singer Should Know,Millie Ryan
of his mother Hina,W. D. Westervelt
"Philip the Second, King of Spain",William H. Prescott
Il dolore nell'arte,Antonio Fogazzaro
Earth and Sky Every Child Should Know,Julia Ellen Rogers
Accidental Flight,Floyd L. Wallace
The Revolt of the Angels,Anatole France
A Woman's Wartime Journal,Dolly Sumner Lunt
Stalemate,Basil Eugene Wells
Elizabethan England,William Harrison
Let There Be Light,Horace Brown Fyfe
Henry Horn's X-Ray Eye Glasses,Dwight V. Swain
The Old Martians,Roger Phillips Graham
March 1845,Various
A Problem in Modern Ethics,John Addington Symonds
The Ambassador,Samuel Kimball Merwin
O Condemnado/Como os anjos se vingam,Camilo Castelo Branco
Minerva e lo scimmione,Ettore Romagnoli
The Secret of Kralitz,Henry Kuttner
Tape Jockey,Tom Leahy
Of Stegner's Folly,Richard S. Shaver
Little Aliens,Myra Kelly
The Golgotha Dancers,Manly Wade Wellman
Micro-Man,Forrest James Ackerman
Religious Perplexities,Lawrence Pearsall Jacks
Dorothy Page,Eldridge B. Hatcher
A Novelist on Novels,W. L. George
The Head Girl at the Gables,Angela Brazil
The Telenizer,Don Thompson
Hans Andersen's Fairy Tales,Hans Christian Andersen
Hans Andersen's Fairy Tales,Hans Christian Andersen
Zeppelin,Harry Vissering
The Luck of Gerard Ridgeley,Bertram Mitford
A Frontier Mystery,Bertram Mitford
Forging the Blades,Bertram Mitford
The Triumph of Hilary Blachland,Bertram Mitford
Aletta,Bertram Mitford
Twelve Times Zero,Howard Carleton Browne
The Lost Warship,Robert Moore Williams
"""And That's How It Was, Officer""",Ralph Sholto
The Bramleighs Of Bishop's Folly,Charles James Lever
Gerald Fitzgerald,Charles James Lever
Adventures of Hans Sterk,A.W. Drayson
"Personages in Great-Britain and Ireland, Who",Their Great
These Kingdoms,Josiah Tucker
Dorothy's Tour,Evelyn Raymond
The Club at Crow's Corner,James Otis
"History of the Kentucky Derby, 1875-1921",John Lawrence O'Connor
A Little Freckled Person,Mary Carolyn Davies
"American Languages, and Why We Should Study Them",Daniel G. Brinton
Big Stupe,Charles V. De Vet
Rich Living,Michael Cathal
Declaration of Faith,Saint Athanasius Archbishop of Alexandria
Rambling Recollections of Chelsea,J. B. Ellenor
Essays in Radical Empiricism,William James
"The Atlantic Monthly, Volume 16, No. 95, September 1865",Various
The Haunters of the Silences,Charles G. D. Roberts
The Golden Amazons of Venus,John Murray Reynolds
The White Chief of the Caffres,A.W. Drayson
Dave Dawson on Guadalcanal,Robert Sydney Bowen
One Way,Miriam Allen deFord
My First Summer in the Sierra,John Muir
"Eight days in New Orleans in February, 1847",Albert James
The Tower of Dago,Mór Jókai
The Newsboy Partners,Frank V. Webster
Baskervillen koira,Arthur Conan Doyle
Puss Junior and Robinson Crusoe,David Cory
Neighbors,Jacob A. Riis
The Crime of the Century,Henry M. Hunt
King Cole,John Masefield
Deepfreeze,Robert Donald Locke
Armageddon--2419 A.D.,Philip Francis Nowlan
"Works II, Short Stories",Emmanuel Rhoides
The Lusiad,Luís de Camões
Alphonso and Marina,Jean-Pierre Claris de Florian
Asja,Ivan Turgenev
The Curlytops at Uncle Frank's Ranch,Howard R. Garis
A Fourth Form Friendship,Angela Brazil
Mrs. Turner's Cautionary Stories,Elizabeth Turner
Mr. Spaceship,Philip K. Dick
Keep-Well Stories for Little Folks,May Farinholt-Jones
Hildegarde's Harvest,Laura E. Richards
The Adventures of a Cat,Alfred Elwes
Black Forest Village Stories,Berthold Auerbach
A Marriage at Sea,W. Clark Russell
Most Noble Kynge Henry VIII,Wynkyn de Worde
Pledged to the Dead,Seabury Quinn
"Historia Amoris: A History of Love, Ancient and Modern",Edgar Saltus
Margaret Fuller (Marchesa Ossoli),Julia Ward Howe
The Life of William Ewart Gladstone (Vol 2 of 3),John Morley
"Oeuvres complètes de lord Byron, Volume 11",George Gordon Byron
The Blind Lion of the Congo,Elliott Whitney
The Planters of Colonial Virginia,Thomas J. Wertenbaker
"Notes and Queries, Number 228, March 11, 1854",Various
Middle America,Juan R. León
All About the Three Little Pigs,Anonymous
Swamp Demons,C. A. Butz
What Happened to Inger Johanne,Dikken Zwilgmeyer
The Golden Age,Kenneth Grahame
Discussion on American Slavery,George Thompson
To a Skull on My Bookshelf,Elizabeth Virgins Raplee
The Brain,Alexander Blade
The Alphabet of Economic Science,Philip H. Wicksteed
Helen Grant's Schooldays,Amanda M. Douglas
"Notes and Queries, Number 80, May 10, 1851",Various
Doktor Nikola,Guy Boothby
Witch-Burning,Mary Elizabeth Counselman
Endless Amusement,Unknown
The Wild Swans at Coole,William Butler Yeats
Hernando Cortez,John S. C. Abbott
Stories Pictures Tell,Flora Carpenter
Just So Stories,Rudyard Kipling
A Gift For Terra,Fox B. Holden
The Legion of Lazarus,Edmond Hamilton
The Giants From Outer Space,Geoff St. Reynard
Moon Glow,G. L. Vandenburg
Sketches of Church History,James Craigie Robertson
Instruments,Robert P. Multhauf
Rostem und Suhrab,Friedrich Rückert
La Alaska stafeto kaj Kaptitoj de la glacirokoj,F. Omelka
The Intelligence of Woman,W. L. George
Tales from the German.  Volume I,Carl Franz van der Velde
The Future of English Poetry,Edmund Gosse
The Twelve Months of the Year,Unknown
Vol 2 (of 2),Bernal Diaz del Castillo
Vol 1 (of 2),Bernal Diaz del Castillo
The Buttoned Sky,Geoff St. Reynard
Food in War Time,Graham Lusk
Stories Pictures Tell,Flora Carpenter
Isle of the Undead,Lloyd Arthur Eshbach
Here Lies,H.W. Guernsey
The Last of Mrs. DeBrugh,H. Sivia
The Medley,Anonymous
The Wouldbegoods,E. Nesbit
The Whelps of the Wolf,George Marsh
A Supplication for the Beggars,Simon Fish
Demonstrated,Unknown
Warrior of the Dawn,Howard Carleton Browne
The Scarlet Banner,Felix Dahn
The Boy Scouts for Uncle Sam,John Henry Goldfrap
After Two Nights of the Ear-ache,Francis Hard
Pioneer,William Hardy
R.E.H.,Robert Hayward Barlow
Christmas Eve and Christmas Day,Edward E. Hale
Calvert and Penn,Brantz Mayer
Molly Brown's Sophomore Days,Nell Speed
"British Sports, for the Amusement of Children",William Belch
Women of Early Christianity,Alfred
neue Dichtung,Kasimir Edschmid
Japanese Girls and Women,Alice Mabel Bacon
The Statue,Mari Wolf
The Thing in the Attic,James Benjamin Blish
Waldfried,Berthold Auerbach
The Pain and Sorrow of Evil Marriage,Wynkyn de Worde
"Tales from the German, Volume II",Carl Franz van der Velde
Saga of Halfred the Sigskald,Felix Dahn
Gertrude's Marriage,W. Heimburg
Il colore del tempo,Federico De Roberto
Dave Dawson at Dunkirk,Robert Sydney Bowen
"The Doctor, his Wife, and the Clock",Anna Katharine Green
The Book of Courage,John Thomson Faris
The Automobile Girls at Chicago,Laura Dent Crane
Duel on Syrtis,Poul William Anderson
Every-Day Errors of Speech,L. P. Meredith
All In The Mind,Gene L. Henderson
How to See a Play,Richard Burton
Fidelity,Susan Glaspell
The Model of a Judge,William Morrison
The Practical Joke,Anonymous
The Mountain Girl,Payne Erskine
The Brightener,C. N. Williamson and A. M. Williamson
Category Phoenix,Boyd Ellanby
A Synopsis of the North American Lagomorpha,E. Raymond Hall
Maurice Tiernay Soldier of Fortune,Charles James Lever
Arthur O'Leary,Charles James Lever
"Encyclopaedia Britannica, 11th Edition, Volume 7, Slice 6",Various
Three Prize Essays on American Slavery,"R. B. Thurston,"
A Man of the World,Annie Payson Call
A Yankee Flier with the R.A.F.,Rutherford G. Montgomery
The Constant Couple,George Farquhar
Oriental Women,Edward Bagby Pollard
The Girl from Arizona,Nina Rhoades
Way of a Rebel,Walter M. Miller
The Nursery Rhymes of England,Various
Home Pork Making,A. W. Fulton
At the Post,Horace Leonard Gold
The Black Tide,Arthur G. Stangland
Queen of the Flaming Diamond,Leroy Yerxa
No Shield from the Dead,Gordon Rupert Dickson
Seeds of Pine,Janey Canuck
Fair and Warmer,E.G. von Wald
The City Curious,Jean de Bosschère
Augusta Triumphans,Daniel Defoe
Scheme to Prevent Street Robberies,Daniel Defoe
Human Error,Raymond F. Jones
The Story of Our Country,Jesse Lyman Hurlbut
The Girls of Hillcrest Farm,Amy Bell Marlowe
Paper and Printing Recipes,J. Sawtelle
Reminiscences,Hans Mattson
Brood of the Dark Moon,Charles Willard Diffin
Visits To Monasteries in the Levant,Robert Curzon
Oogie Finds Love,Berkeley Livingston
No Strings Attached,Lester del Rey
The Torch Bearer,Reina Melcher Marquis
Toby Tyler,James Otis
Notes on Agriculture in Cyprus and Its Products,William Bevan
Aus tiefem Schacht,Fedor von Zobeltitz
Black Man's Burden,Dallas McCord Reynolds
Favorite Fairy Tales,Various
The New Warden,Mrs. David G. Ritchie
Poetas do Minho I - João Penha,Alberto Pimentel
Papa Parthenis' Legendary,Pavlos Nirvanas
Die Fürstin,Kasimir Edschmid
of Their Manufactures,Daniel Defoe
Two Wyoming Girls and Their Homestead Claim,Carrie L. Marshall
Old Friends and New,Sarah Orne Jewett
Christo não volta,Alberto Pimentel
O Romance d'uma cantora,Alfredo Sirven
O Primeiro de Maio,Sebastião de Magalhães Lima
O Marquez de Pombal,Manuel Emídio Garcia
"A Struggle for Rome, v. 3",Felix Dahn
Notes on Stable Management in India and the Colonies,Joshua A. Nunn
Dick Hamilton's Fortune,Howard R. Garis
The Golden Treasury,Various
Dickens's Children,Jessie Willcox Smith
The Bonadventure,Edmund Blunden
Secret Diplomatic History of The Eighteenth Century,Karl Marx
"Graham's Magazine, Vol XXXIII, No. 6, December 1848",Various
Peerless Prestidigitation,Herbert De Caston
Outlines of dairy bacteriology,H. L. Russell and E. G. Hastings
Et Aar,Anton Nielsen
A Boy Knight,Martin Jerome Scott
Marta y María,Armando Palacio Valdés
Ten Girls from History,Kate Dickinson Sweetser
The Prophetic Camera,John McGreevey
The Holes Around Mars,Jerome Bixby
